#
# x265 --input FourPeople_1280x720_60.y4m -o out.h265
#
----------------------------------------------------------------------
Threads summary [ 8 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
<main>                100.0  99.5       35.1       35.1    1.00    2.8
<1>                    86.8  86.8       40.4       19.3    0.48    1.0
<2>                    81.3  81.3       43.2       20.6    0.48    1.1
<3>                    76.4  68.8       45.9     3681.7   80.22   91.9
<4>                    85.6  47.5       41.0     1977.8   48.24   89.1
<5>                    82.3  49.0       42.6     2225.3   52.24   87.1
<6>                    75.9  66.7       46.2     3409.0   73.80   92.6
<7>                     6.0   6.0      584.6      557.7    0.95   37.7

----------------------------------------------------------------------
Stack top [ 8 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
<main>                100.0  99.5       35.1       35.1    1.00    2.8
  Encoder::encode     100.0  99.5       35.1       35.1    1.00    2.8
<1>                    86.8  86.8       40.4       19.3    0.48    1.0
  frameThread          86.8  86.8       40.4       19.3    0.48    1.0
<2>                    81.3  81.3       43.2       20.6    0.48    1.1
  frameThread          81.3  81.3       43.2       20.6    0.48    1.1
<3>                    76.4  68.8       45.9     3681.7   80.22   91.9
  slicetypeDecideEV     8.1   0.5      433.3        6.9    0.02   90.3
  estCostCoop           9.7   9.7      360.6     1544.3    4.28   97.5
  encodeCTU            50.0  50.0       70.1     5063.4   72.21   91.8
  filterCTURow          7.3   7.3      479.3     1749.1    3.65   86.8
  prelookahead          0.2   0.2    19136.8      243.0    0.01   47.5
  estCostSingle         1.1   1.1     3231.3      179.5    0.06   96.2
<4>                    85.6  47.5       41.0     1977.8   48.24   89.1
  prelookahead          0.3   0.3    13290.9      253.2    0.02   33.0
  estCostSingle         2.9   2.9     1212.5      257.9    0.21   96.2
  estCostCoop           5.3   5.3      668.1     1609.7    2.41   94.4
  encodeCTU            31.8  31.8      110.2     4776.6   43.36   84.4
  filterCTURow          4.5   4.5      774.4     1671.8    2.16  121.0
  slicetypeDecideEV    40.8   2.7       86.0        7.4    0.09   88.3
<5>                    82.3  49.0       42.6     2225.3   52.24   87.1
  prelookahead          0.8   0.8     4513.5      265.1    0.06   67.2
  estCostSingle         1.9   1.9     1843.2      307.2    0.17   91.4
  estCostCoop           6.6   6.6      527.5     1479.6    2.80  104.7
  encodeCTU            31.7  31.7      110.5     5151.2   46.61   86.9
  slicetypeDecideEV    35.6   2.3       98.5        6.9    0.07   83.1
  filterCTURow          5.7   5.7      618.5     1565.8    2.53   93.6
<6>                    75.9  66.7       46.2     3409.0   73.80   92.6
  prelookahead          0.8   0.8     4252.9      276.8    0.07  126.6
  estCostSingle         1.7   1.7     2029.5      325.4    0.16   95.6
  estCostCoop          10.5  10.5      334.1     1223.9    3.66   95.3
  encodeCTU            47.2  47.2       74.2     4958.4   66.78   90.0
  filterCTURow          5.8   5.8      602.4     1872.3    3.11  103.1
  slicetypeDecideEV     9.8   0.6      357.4        6.2    0.02   92.2
