#
# x265 --input FourPeople_1280x720_60.y4m -o out.h265 \
#      --pools 0 --frame-threads 1 --bframes 0 --rc-lookahead 0 --preset superfast --ref 1 --bitrate 2000
----------------------------------------------------------------------
Threads summary [ 3 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
<main>                100.0  91.7       22.4       22.4    1.00    9.0
<1>                    90.5   5.4       24.7       24.6    1.00   99.3
<2>                     1.7   1.7     1281.6     1277.3    1.00   93.0

----------------------------------------------------------------------
Stack top [ 3 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
<main>                100.0  91.7       22.4       22.4    1.00    9.0
  Encoder::encode     100.0  91.7       22.4       22.4    1.00    9.0
<1>                    90.5   5.4       24.7       24.6    1.00   99.3
  frameThread          90.5   5.4       24.7       24.6    1.00   99.3
<2>                     1.7   1.7     1281.6     1277.3    1.00   93.0
  frameRead             1.7   1.7     1281.6     1277.3    1.00   93.0

----------------------------------------------------------------------
Summary report [ 3 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
<main>                100.0  91.7       22.4       22.4    1.00    9.0
  Encoder::encode     100.0  91.7       22.4       22.4    1.00    9.0
    slicetypeDecideEV   8.3   4.6      268.5      267.6    1.00  102.3
      prelookahead      3.8   3.8      595.5      593.5    1.00  108.0
<1>                    90.5   5.4       24.7       24.6    1.00   99.3
  frameThread          90.5   5.4       24.7       24.6    1.00   99.3
    encodeCTU          84.8  84.8       26.4    24189.6  916.95  100.3
    filterCTURow        0.3   0.3     7751.8   177714.6   22.92  160.7
<2>                     1.7   1.7     1281.6     1277.3    1.00   93.0
  frameRead             1.7   1.7     1281.6     1277.3    1.00   93.0

----------------------------------------------------------------------
Detailed report [ 3 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
<main>                100.0  91.7       22.4       22.4    1.00    9.0
  Encoder::encode     100.0  91.7       22.4       22.4    1.00    9.0
    slicetypeDecideEV   8.3   4.6      268.5      267.6    1.00  102.3
      prelookahead      3.8   3.8      595.5      593.5    1.00  108.0
<1>                    90.5   5.4       24.7       24.6    1.00   99.3
  frameThread          90.5   5.4       24.7       24.6    1.00   99.3
    encodeCTU           0.1   0.1    20939.7    20870.3    1.00    0.0
    encodeCTU           0.0   0.0    75501.5    75255.9    1.00    0.0
    encodeCTU           0.1   0.1    32877.9    32769.7    1.00   85.2
    encodeCTU           0.0   0.0    67841.2    67617.8    1.00    0.0
    encodeCTU           0.0   0.0    60497.2    60299.1    1.00    0.0
    encodeCTU           0.0   0.0    62292.1    62088.7    1.00    0.0
    encodeCTU           0.0   0.0    59639.8    59442.4    1.00  463.6
    encodeCTU           0.0   0.0    52658.7    52485.2    1.00    0.0
    encodeCTU           0.1   0.1    44344.4    44198.9    1.00  114.9
    encodeCTU           0.0   0.0    60516.6    60317.3    1.00  156.8
    encodeCTU           0.0   0.0    62002.6    61797.1    1.00    0.0
    encodeCTU           0.0   0.0    77654.1    77399.4    1.00    0.0
    encodeCTU           0.0   0.0    53271.4    53095.5    1.00  138.0
    encodeCTU           0.0   0.0    62389.4    62185.2    1.00    0.0
    encodeCTU           0.0   0.0    54184.7    54007.3    1.00  280.8
    encodeCTU           0.0   0.0    50928.6    50761.4    1.00  132.0
    encodeCTU           0.1   0.1    28555.5    28460.8    1.00    0.0
    encodeCTU           0.1   0.1    32988.1    32879.6    1.00   85.5
    encodeCTU           0.0   0.0    57457.6    57267.2    1.00  148.9
    encodeCTU           0.0   0.0    73157.4    72918.2    1.00  379.1
    encodeCTU           0.0   0.0    63881.9    63674.0    1.00    0.0
    encodeCTU           0.0   0.0    59994.0    59797.9    1.00    0.0
    encodeCTU           0.0   0.0    69048.4    68823.1    1.00    0.0
    encodeCTU           0.0   0.0    68191.1    67967.1    1.00    0.0
    encodeCTU           0.0   0.0    65689.9    65475.0    1.00    0.0
    encodeCTU           0.0   0.0    72693.5    72453.3    1.00  188.4
    encodeCTU           0.0   0.0    73631.8    73389.1    1.00  190.8
    encodeCTU           0.0   0.0    66501.2    66282.2    1.00    0.0
    encodeCTU           0.0   0.0    58878.7    58685.4    1.00    0.0
    encodeCTU           0.0   0.0    63184.4    62976.3    1.00    0.0
    encodeCTU           0.0   0.0    69053.2    68827.9    1.00    0.0
    encodeCTU           0.0   0.0    64467.8    64255.0    1.00    0.0
    encodeCTU           0.0   0.0    56376.2    56189.2    1.00    0.0
    encodeCTU           0.0   0.0    59537.9    59343.7    1.00  154.3
    encodeCTU           0.0   0.0    49604.7    49441.3    1.00  128.5
    encodeCTU           0.0   0.0    49782.5    49617.9    1.00    0.0
    encodeCTU           0.1   0.1    37599.1    37475.6    1.00   97.4
    encodeCTU           0.1   0.1    14965.1    14915.6    1.00   77.6
    encodeCTU           0.1   0.1    22620.5    22545.9    1.00    0.0
    encodeCTU           0.1   0.1    27260.5    27170.2    1.00  141.3
    encodeCTU           0.0   0.0    59817.3    59619.6    1.00  155.0
    encodeCTU           0.0   0.0    74751.8    74504.5    1.00  193.7
    encodeCTU           0.0   0.0    46336.1    46183.0    1.00  120.1
    encodeCTU           0.1   0.1    26078.7    25992.3    1.00    0.0
    encodeCTU           0.1   0.1    30650.2    30549.3    1.00   79.4
    encodeCTU           0.1   0.1    41076.3    40941.7    1.00  319.3
    encodeCTU           0.1   0.1    35858.1    35739.8    1.00   92.9
    encodeCTU           0.1   0.1    38397.9    38271.7    1.00   99.5
    encodeCTU           0.1   0.1    40730.3    40595.9    1.00  211.1
    encodeCTU           0.1   0.1    39106.6    38977.2    1.00  202.7
    encodeCTU           0.1   0.1    42869.6    42727.7    1.00  111.1
    encodeCTU           0.0   0.0    76314.6    76063.0    1.00    0.0
    encodeCTU           0.0   0.0    55346.5    55163.3    1.00  143.4
    encodeCTU           0.0   0.0    50518.2    50352.5    1.00  130.9
    encodeCTU           0.1   0.1    41219.2    41082.9    1.00  320.4
    encodeCTU           0.0   0.0    47311.9    47156.5    1.00    0.0
    encodeCTU           0.0   0.0    47009.1    46853.8    1.00  121.8
    encodeCTU           0.0   0.0    48473.8    48313.8    1.00  251.2
    encodeCTU           0.0   0.0    46314.1    46161.7    1.00  120.0
    encodeCTU           0.0   0.0    51819.7    51650.2    1.00  134.3
    encodeCTU           0.0   0.0    63089.2    62881.2    1.00  163.5
    encodeCTU           0.0   0.0    58642.2    58448.8    1.00    0.0
    encodeCTU           0.0   0.0    67786.3    67563.0    1.00    0.0
    encodeCTU           0.0   0.0    68365.0    68138.5    1.00    0.0
    encodeCTU           0.0   0.0    61292.3    61091.1    1.00  317.6
    encodeCTU           0.0   0.0    58687.3    58493.2    1.00    0.0
    encodeCTU           0.0   0.0    66159.8    65941.3    1.00    0.0
    encodeCTU           0.0   0.0    76760.5    76511.1    1.00    0.0
    encodeCTU           0.0   0.0    62072.8    61869.7    1.00    0.0
    encodeCTU           0.0   0.0    67022.3    66800.3    1.00    0.0
    encodeCTU           0.0   0.0    64660.7    64449.6    1.00  335.1
    encodeCTU           0.0   0.0    76082.6    75832.3    1.00    0.0
    encodeCTU           0.0   0.0    53901.9    53725.9    1.00    0.0
    encodeCTU           0.0   0.0    57711.1    57520.9    1.00  149.5
    encodeCTU           0.1   0.1    43845.9    43700.6    1.00    0.0
    encodeCTU           0.0   0.0    52579.7    52405.4    1.00    0.0
    encodeCTU           0.1   0.1    37983.5    37858.7    1.00    0.0
    encodeCTU           0.1   0.1    15882.3    15829.8    1.00   41.2
    encodeCTU           0.1   0.1    24553.8    24472.6    1.00   63.6
    encodeCTU           0.1   0.1    25846.0    25760.6    1.00  133.9
    filterCTURow        0.1   0.1    25552.4    25468.0    1.00  132.4
    encodeCTU           0.0   0.0    59753.9    59555.7    1.00  154.8
    encodeCTU           0.0   0.0    88325.8    88035.9    1.00  228.9
    encodeCTU           0.0   0.0    50481.0    50314.5    1.00    0.0
    encodeCTU           0.0   0.0    80505.2    80243.9    1.00  208.6
    encodeCTU           0.0   0.0    45800.1    45649.6    1.00    0.0
    encodeCTU           0.1   0.1    36795.2    36674.4    1.00    0.0
    encodeCTU           0.1   0.1    41037.4    40901.5    1.00    0.0
    encodeCTU           0.1   0.1    39751.1    39619.7    1.00    0.0
    encodeCTU           0.1   0.1    37755.7    37630.8    1.00   97.8
    encodeCTU           0.1   0.1    44049.3    43903.9    1.00  114.1
    encodeCTU           0.1   0.1    38918.8    38789.8    1.00  201.7
    encodeCTU           0.1   0.1    41118.3    40983.6    1.00    0.0
    encodeCTU           0.1   0.1    40971.1    40836.3    1.00    0.0
    encodeCTU           0.0   0.0    60332.6    60135.9    1.00  156.3
    encodeCTU           0.0   0.0    50358.3    50193.2    1.00    0.0
    encodeCTU           0.1   0.1    36996.8    36874.5    1.00   95.9
    encodeCTU           0.1   0.1    32272.7    32165.7    1.00   83.6
    encodeCTU           0.1   0.1    34870.6    34756.0    1.00  271.1
    encodeCTU           0.1   0.1    31581.4    31477.2    1.00  163.7
    encodeCTU           0.1   0.1    30464.7    30363.8    1.00    0.0
    encodeCTU           0.1   0.1    36542.8    36421.9    1.00    0.0
    encodeCTU           0.0   0.0    46978.0    46823.1    1.00  365.2
    encodeCTU           0.0   0.0    66021.4    65802.5    1.00  171.1
    encodeCTU           0.0   0.0    70568.4    70338.3    1.00    0.0
    encodeCTU           0.0   0.0    63711.1    63500.1    1.00  165.1
    encodeCTU           0.0   0.0    65471.6    65257.1    1.00  339.3
    encodeCTU           0.0   0.0    59952.9    59755.0    1.00    0.0
    encodeCTU           0.0   0.0    72173.2    71937.3    1.00    0.0
    encodeCTU           0.0   0.0    68268.3    68045.7    1.00  176.9
    encodeCTU           0.0   0.0    65018.4    64804.6    1.00  337.0
    encodeCTU           0.0   0.0    66291.4    66072.0    1.00    0.0
    encodeCTU           0.0   0.0    73981.4    73740.9    1.00    0.0
    encodeCTU           0.0   0.0    60986.1    60786.6    1.00  158.0
    encodeCTU           0.0   0.0    54344.9    54165.3    1.00  140.8
    encodeCTU           0.0   0.0    45145.5    44996.4    1.00  234.0
    encodeCTU           0.0   0.0    55720.4    55537.0    1.00    0.0
    encodeCTU           0.1   0.1    37794.3    37669.0    1.00   97.9
    encodeCTU           0.1   0.1    15132.8    15082.7    1.00   78.4
    encodeCTU           0.1   0.1    23075.4    22999.1    1.00  119.6
    encodeCTU           0.1   0.1    27104.3    27014.6    1.00   70.2
    filterCTURow        0.0   0.0   743709.9   741289.9    1.00    0.0
    encodeCTU           0.0   0.0    54757.0    54576.2    1.00  141.9
    encodeCTU           0.0   0.0    78104.8    77851.3    1.00  202.4
    encodeCTU           0.0   0.0    51029.5    50862.1    1.00    0.0
    encodeCTU           0.0   0.0    79228.5    78970.2    1.00    0.0
    encodeCTU           0.0   0.0    64737.1    64524.5    1.00  167.7
    encodeCTU           0.0   0.0    59954.1    59758.6    1.00  155.4
    encodeCTU           0.0   0.0    63739.4    63528.4    1.00  330.3
    encodeCTU           0.0   0.0    74015.0    73773.5    1.00    0.0
    encodeCTU           0.0   0.0    54436.1    54256.4    1.00  141.1
    encodeCTU           0.0   0.0    79680.8    79421.8    1.00    0.0
    encodeCTU           0.0   0.0    71992.3    71756.6    1.00    0.0
    encodeCTU           0.0   0.0    73489.1    73249.3    1.00    0.0
    encodeCTU           0.0   0.0    55323.1    55142.0    1.00  143.4
    encodeCTU           0.0   0.0    62859.6    62652.7    1.00    0.0
    encodeCTU           0.0   0.0    71253.0    71017.7    1.00  184.6
    encodeCTU           0.0   0.0    63394.3    63187.2    1.00  164.3
    encodeCTU           0.0   0.0    61975.8    61770.3    1.00  160.6
    encodeCTU           0.0   0.0    74894.7    74649.2    1.00    0.0
    encodeCTU           0.0   0.0    61479.8    61278.3    1.00  318.6
    encodeCTU           0.0   0.0    76675.6    76423.4    1.00  198.7
    encodeCTU           0.0   0.0    59869.5    59673.0    1.00  155.1
    encodeCTU           0.0   0.0    60577.4    60379.2    1.00  157.0
    encodeCTU           0.0   0.0    62483.8    62278.1    1.00  161.9
    encodeCTU           0.0   0.0    76350.4    76097.7    1.00    0.0
    encodeCTU           0.0   0.0    64585.2    64374.9    1.00  167.4
    encodeCTU           0.0   0.0    60292.2    60092.5    1.00    0.0
    encodeCTU           0.0   0.0    56894.3    56708.6    1.00  147.4
    encodeCTU           0.0   0.0    60337.4    60139.5    1.00  469.0
    encodeCTU           0.0   0.0    74059.5    73817.1    1.00    0.0
    encodeCTU           0.0   0.0    73393.4    73152.9    1.00  190.2
    encodeCTU           0.0   0.0    61121.5    60919.9    1.00    0.0
    encodeCTU           0.0   0.0    74983.2    74738.4    1.00    0.0
    encodeCTU           0.0   0.0    56728.4    56541.9    1.00    0.0
    encodeCTU           0.0   0.0    51910.7    51741.1    1.00    0.0
    encodeCTU           0.1   0.1    42736.3    42594.9    1.00    0.0
    encodeCTU           0.0   0.0    51989.9    51818.8    1.00  134.7
    encodeCTU           0.1   0.1    37085.8    36963.1    1.00  288.3
    encodeCTU           0.1   0.1    15402.5    15351.6    1.00   39.9
    encodeCTU           0.1   0.1    22669.9    22594.8    1.00   58.7
    encodeCTU           0.1   0.1    23740.4    23661.9    1.00   61.5
    filterCTURow        0.0   0.0   949755.9   946969.8    1.00    0.0
    encodeCTU           0.0   0.0    47057.9    46902.1    1.00  121.9
    encodeCTU           0.0   0.0    76417.1    76167.3    1.00    0.0
    encodeCTU           0.0   0.0    51617.4    51448.3    1.00  133.8
    encodeCTU           0.0   0.0    61196.5    60994.2    1.00    0.0
    encodeCTU           0.0   0.0    56818.2    56631.6    1.00    0.0
    encodeCTU           0.0   0.0    52087.4    51915.7    1.00  135.0
    encodeCTU           0.0   0.0    49366.8    49205.3    1.00  255.8
    encodeCTU           0.0   0.0    60637.1    60437.6    1.00    0.0
    encodeCTU           0.0   0.0    61674.7    61470.4    1.00  159.8
    encodeCTU           0.0   0.0    83056.7    82781.5    1.00    0.0
    encodeCTU           0.0   0.0    58951.8    58757.9    1.00    0.0
    encodeCTU           0.0   0.0    69378.9    69151.5    1.00    0.0
    encodeCTU           0.0   0.0    58965.6    58771.7    1.00  152.8
    encodeCTU           0.0   0.0    58403.1    58210.6    1.00    0.0
    encodeCTU           0.0   0.0    58108.7    57917.3    1.00  150.6
    encodeCTU           0.0   0.0    51328.8    51158.7    1.00    0.0
    encodeCTU           0.0   0.0    47194.2    47038.9    1.00  366.9
    encodeCTU           0.0   0.0    65259.0    65044.9    1.00    0.0
    encodeCTU           0.0   0.0    70773.8    70541.8    1.00  183.4
    encodeCTU           0.0   0.0    71802.8    71566.6    1.00  186.1
    encodeCTU           0.0   0.0    58612.5    58421.5    1.00  151.9
    encodeCTU           0.0   0.0    59848.1    59651.6    1.00  310.2
    encodeCTU           0.0   0.0    57800.1    57610.3    1.00  149.8
    encodeCTU           0.0   0.0    65964.4    65746.2    1.00    0.0
    encodeCTU           0.0   0.0    61406.5    61203.3    1.00    0.0
    encodeCTU           0.0   0.0    59186.7    58993.6    1.00    0.0
    encodeCTU           0.0   0.0    52796.6    52623.3    1.00    0.0
    encodeCTU           0.0   0.0    69230.8    69003.6    1.00  358.8
    encodeCTU           0.0   0.0    64959.6    64745.9    1.00  168.3
    encodeCTU           0.0   0.0    69422.9    69194.6    1.00  179.9
    encodeCTU           0.0   0.0    68554.7    68329.4    1.00    0.0
    encodeCTU           0.0   0.0    68520.4    68296.7    1.00  532.7
    encodeCTU           0.0   0.0    67476.1    67254.0    1.00  174.8
    encodeCTU           0.0   0.0    63040.4    62833.8    1.00  163.4
    encodeCTU           0.1   0.1    39637.4    39507.0    1.00    0.0
    encodeCTU           0.0   0.0    47174.6    47019.0    1.00  122.2
    encodeCTU           0.1   0.1    23908.2    23829.4    1.00    0.0
    encodeCTU           0.2   0.2    11851.8    11812.7    1.00  122.8
